osmid,y,x,street_count,highway,geometry,neighbors
31179466,37.9871724,23.726682,4,,POINT (23.726682 37.9871724),"[97834761, 962356923]"
31179468,37.9856434,23.7241204,3,,POINT (23.7241204 37.9856434),"[6693568141, 250921080]"
42240105,37.9761998,23.7343793,4,,POINT (23.7343793 37.9761998),[250691272]
95663374,37.9863552,23.723325,4,,POINT (23.723325 37.9863552),[95663419]
95663375,37.9861129,23.7249236,4,,POINT (23.7249236 37.9861129),"[844627879, 95663504, 6693568141]"
95663376,37.985959,23.725926,4,,POINT (23.725926 37.985959),"[95663493, 95663377]"
95663377,37.985398,23.7257836,4,,POINT (23.7257836 37.985398),"[11256819883, 95663386]"
95663385,37.9857657,23.7271846,4,,POINT (23.7271846 37.9857657),"[95663376, 95663386]"
95663386,37.9852114,23.7270486,4,,POINT (23.7270486 37.9852114),"[250720871, 95663423]"
95663389,37.985506,23.7250517,4,,POINT (23.7250517 37.985506),"[95663493, 95663377]"
95663392,37.9885741,23.7291214,4,,POINT (23.7291214 37.9885741),"[95663402, 95663400]"
95663394,37.9901558,23.7295195,4,,POINT (23.7295195 37.9901558),"[635126483, 97788216]"
95663400,37.9888466,23.72919,4,,POINT (23.72919 37.9888466),[95663631]
95663402,37.9888007,23.729499,4,,POINT (23.729499 37.9888007),"[961530806, 95663400]"
95663418,37.9865686,23.7257031,4,,POINT (23.7257031 37.9865686),"[95663527, 844627879]"
95663419,37.9868837,23.7234789,4,,POINT (23.7234789 37.9868837),"[7248584892, 98303817]"
95663420,37.9861564,23.7285143,4,,POINT (23.7285143 37.9861564),"[962356679, 250714052]"
95663422,37.9855836,23.7283706,4,,POINT (23.7283706 37.9855836),"[95663420, 95663385]"
95663423,37.9850366,23.7282335,3,,POINT (23.7282335 37.9850366),[95663422]
95663426,37.9868729,23.7274563,4,,POINT (23.7274563 37.9868729),"[688786344, 300398465]"
95663433,37.9874107,23.7275882,4,,POINT (23.7275882 37.9874107),"[95663426, 95663454]"
