u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id,time_step,speed
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,0,0.0
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,1,0.0
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,2,18.91542857142857
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,3,10.218638
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,4,6.430662711864406
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,5,17.514442857142857
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,6,18.789676
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,7,8.449887804878049
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,8,16.557358333333333
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,9,26.694454545454548
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,0,0.0
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,1,0.0
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,2,0.0
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,3,27.663852631578948
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,4,31.812932142857143
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,5,29.01372
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,6,31.01817391304348
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,7,33.07716511627907
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,8,34.04188214285714
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,9,25.9813
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,0,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,1,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,2,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,3,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,4,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,5,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,6,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,7,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,8,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,9,0.0
31179468,6693568141,Μάρνη,secondary,False,61.072,4,,,,,,,,,3,0,0.0
31179468,6693568141,Μάρνη,secondary,False,61.072,4,,,,,,,,,3,1,0.0
31179468,6693568141,Μάρνη,secondary,False,61.072,4,,,,,,,,,3,2,0.0
31179468,6693568141,Μάρνη,secondary,False,61.072,4,,,,,,,,,3,3,0.0
31179468,6693568141,Μάρνη,secondary,False,61.072,4,,,,,,,,,3,4,0.0
31179468,6693568141,Μάρνη,secondary,False,61.072,4,,,,,,,,,3,5,0.0
