u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id,time_step,speed
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,10,0.5015626655032054
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,11,0.4329528198137198
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,12,0.5320664661742537
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,13,0.47406166851020504
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,14,0.35910497431868554
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,15,0.27253335109716287
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,16,0.5644920585420221
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,17,0.0
31179466,962356923,Καματερού,primary,True,6.341,2,,,,,,,,,0,18,0.0
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,10,0.6172499626489973
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,11,0.6195386599704795
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,12,0.6339784498940121
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,13,0.6193858979195507
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,14,0.5199586753182438
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,15,0.6500998702043894
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,16,0.6336568945975207
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,17,0.0
31179466,97834761,Μάρνη,secondary,True,25.295,2,,,,,,,,,1,18,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,10,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,11,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,12,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,13,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,14,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,15,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,16,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,17,0.0
31179468,250921080,Σατωβριάνδου,residential,True,15.665,,,,,,,,,,2,18,0.0
31179468,6693568141,Μάρνη,secondary,False,61.072,4,,,,,,,,,3,10,0.0
