episode,step,state,action,next_state,reward,path_feature,denormalized_path_feature,path_features,denormalized_path_features
0,0,144,1,210,-4.987551689147949,"[-0.3877550959587097, -0.3039671778678894, -1.0, -0.36000001430511475, -1.0, -1.0, -1.0, -1.0, -0.692307710647583, -1.0, -4.1666670114182125e-10, -1.0]","[15, 1101, 0, 8, 0, 0, 0, 0, 2, 0, 12, 1]","[-3.8775510e-01 -3.0396718e-01 -1.0000000e+00 -3.6000001e-01
 -1.0000000e+00 -1.0000000e+00 -1.0000000e+00 -1.0000000e+00
 -6.9230771e-01 -1.0000000e+00 -4.1666670e-10 -1.0000000e+00]",[  15 1101    0    8    0    0    0    0    2    0   12    1]
0,1,210,0,191,0.15177154541015625,"[-0.4285714328289032, -0.3217143416404724, -1.0, -0.36000001430511475, -1.0, -1.0, -1.0, -1.0, -0.8461538553237915, -1.0, -4.1666670114182125e-10, -1.0]","[14, 1073, 0, 8, 0, 0, 0, 0, 1, 0, 12, 1]","[-4.2857143e-01 -3.2171434e-01 -1.0000000e+00 -3.6000001e-01
 -1.0000000e+00 -1.0000000e+00 -1.0000000e+00 -1.0000000e+00
 -8.4615386e-01 -1.0000000e+00 -4.1666670e-10 -1.0000000e+00]",[  14 1073    0    8    0    0    0    0    1    0   12    1]
0,2,191,0,193,-0.9136177897453308,"[-0.4693877696990967, -0.3739011287689209, -1.0, -0.36000001430511475, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -4.1666670114182125e-10, -1.0]","[13, 990, 0, 8, 0, 0, 0, 0, 0, 0, 12, 1]","[-4.6938777e-01 -3.7390113e-01 -1.0000000e+00 -3.6000001e-01
 -1.0000000e+00 -1.0000000e+00 -1.0000000e+00 -1.0000000e+00
 -1.0000000e+00 -1.0000000e+00 -4.1666670e-10 -1.0000000e+00]",[ 13 990   0   8   0   0   0   0   0   0  12   1]
0,3,193,1,180,-1.2745975255966187,"[-0.5102040767669678, -0.4356074333190918, -1.0, -0.4399999976158142, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.0833333358168602, -1.0]","[12, 893, 0, 7, 0, 0, 0, 0, 0, 0, 11, 1]","[-0.5102041  -0.43560743 -1.         -0.44       -1.         -1.
 -1.         -1.         -1.         -1.         -0.08333334 -1.        ]",[ 12 893   0   7   0   0   0   0   0   0  11   1]
0,4,180,1,315,-0.2194390445947647,"[-0.5510203838348389, -0.47457975149154663, -1.0, -0.5199999809265137, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.1666666716337204, -1.0]","[11, 831, 0, 6, 0, 0, 0, 0, 0, 0, 10, 1]","[-0.5510204  -0.47457975 -1.         -0.52       -1.         -1.
 -1.         -1.         -1.         -1.         -0.16666667 -1.        ]",[ 11 831   0   6   0   0   0   0   0   0  10   1]
0,5,315,1,185,-0.23430399596691132,"[-0.5918367505073547, -0.5132384300231934, -1.0, -0.6000000238418579, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.25, -1.0]","[10, 770, 0, 5, 0, 0, 0, 0, 0, 0, 9, 1]","[-0.59183675 -0.51323843 -1.         -0.6        -1.         -1.
 -1.         -1.         -1.         -1.         -0.25       -1.        ]",[ 10 770   0   5   0   0   0   0   0   0   9   1]
0,6,185,1,179,-0.23697081208229065,"[-0.6326530575752258, -0.5495194792747498, -1.0, -0.6800000071525574, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.3333333432674408, -1.0]","[9, 712, 0, 4, 0, 0, 0, 0, 0, 0, 8, 1]","[-0.63265306 -0.5495195  -1.         -0.68       -1.         -1.
 -1.         -1.         -1.         -1.         -0.33333334 -1.        ]",[  9 712   0   4   0   0   0   0   0   0   8   1]
0,7,179,2,418,-0.04906315356492996,"[-0.6734693646430969, -0.6577813625335693, -1.0, -0.6800000071525574, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.4166666567325592, -1.0]","[8, 541, 0, 4, 0, 0, 0, 0, 0, 0, 7, 1]","[-0.67346936 -0.65778136 -1.         -0.68       -1.         -1.
 -1.         -1.         -1.         -1.         -0.41666666 -1.        ]",[  8 541   0   4   0   0   0   0   0   0   7   1]
0,8,418,1,251,-0.10394792258739471,"[-0.7142857313156128, -0.7177031636238098, -1.0, -0.7599999904632568, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.5, -1.0]","[7, 446, 0, 3, 0, 0, 0, 0, 0, 0, 6, 1]","[-0.71428573 -0.71770316 -1.         -0.76       -1.         -1.
 -1.         -1.         -1.         -1.         -0.5        -1.        ]",[  7 446   0   3   0   0   0   0   0   0   6   1]
0,9,251,1,164,-0.20301614701747894,"[-0.7551020383834839, -0.7686315178871155, -1.0, -0.8399999737739563, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.5833333134651184, -1.0]","[6, 366, 0, 2, 0, 0, 0, 0, 0, 0, 5, 1]","[-0.75510204 -0.7686315  -1.         -0.84       -1.         -1.
 -1.         -1.         -1.         -1.         -0.5833333  -1.        ]",[  6 366   0   2   0   0   0   0   0   0   5   1]
0,10,164,1,174,-0.1646885722875595,"[-0.795918345451355, -0.8130130767822266, -1.0, -0.9200000166893005, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.6666666865348816, -1.0]","[5, 296, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1]","[-0.79591835 -0.8130131  -1.         -0.92       -1.         -1.
 -1.         -1.         -1.         -1.         -0.6666667  -1.        ]",[  5 296   0   1   0   0   0   0   0   0   4   1]
