Trajectory ID,Step,Current State,Real Action,Next State,Real Reward,Possible Action 1,Action 1 Next State,Action 1 Reward,Possible Action 2,Action 2 Next State,Action 2 Reward,Possible Action 3,Action 3 Next State,Action 3 Reward
0,0,19,0,24,1.1463658809661865,0,24,1.1463658809661865,1,25,1.1909174919128418,,,
0,1,24,1,348,1.2213656902313232,0,349,1.1738555431365967,1,348,1.2213656902313232,,,
0,2,348,0,347,0.7605117559432983,0,347,0.7605117559432983,,,,,,
0,3,347,1,83,1.198085069656372,0,82,1.1132382154464722,1,83,1.198085069656372,,,
0,4,83,2,77,1.4812175035476685,0,76,1.4480736255645752,1,78,1.4375414848327637,2,77,1.4812175035476685
0,5,77,0,75,1.1595433950424194,0,75,1.1595433950424194,1,74,1.1870090961456299,,,
0,6,75,1,310,1.2051072120666504,0,309,1.1496803760528564,1,310,1.2051072120666504,,,
0,7,310,0,237,1.1614513397216797,0,237,1.1614513397216797,1,236,1.140019178390503,,,
0,8,237,1,233,1.185107946395874,0,232,1.1255725622177124,1,233,1.185107946395874,,,
0,9,233,1,234,1.2129721641540527,0,235,1.1721020936965942,1,234,1.2129721641540527,,,
0,10,234,0,200,0.7691714763641357,0,200,0.7691714763641357,,,,,,
0,11,200,1,208,1.1884324550628662,0,209,1.1235979795455933,1,208,1.1884324550628662,,,
0,12,208,1,145,1.203691840171814,0,144,1.1542898416519165,1,145,1.203691840171814,,,
0,13,145,1,146,1.2007758617401123,0,147,1.1057170629501343,1,146,1.2007758617401123,,,
0,14,146,0,148,0.7595428228378296,0,148,0.7595428228378296,,,,,,
0,15,148,0,227,0.7566537857055664,0,227,0.7566537857055664,,,,,,
0,16,227,2,151,1.4699046611785889,0,149,1.4386560916900635,1,150,1.4992790222167969,2,151,1.4699046611785889
0,17,151,0,152,0.7567383050918579,0,152,0.7567383050918579,,,,,,
0,18,152,1,154,1.1881656646728516,0,153,1.1052205562591553,1,154,1.1881656646728516,,,
0,19,154,0,4,0.7609192728996277,0,4,0.7609192728996277,,,,,,
1,0,39,0,75,1.1880115270614624,0,75,1.1880115270614624,1,74,1.2192699909210205,,,
1,1,75,1,310,1.2051072120666504,0,309,1.1496803760528564,1,310,1.2051072120666504,,,
1,2,310,0,237,1.1614513397216797,0,237,1.1614513397216797,1,236,1.140019178390503,,,
1,3,237,1,233,1.185107946395874,0,232,1.1255725622177124,1,233,1.185107946395874,,,
1,4,233,1,234,1.2129721641540527,0,235,1.1721020936965942,1,234,1.2129721641540527,,,
1,5,234,0,200,0.7691714763641357,0,200,0.7691714763641357,,,,,,
1,6,200,1,208,1.1884324550628662,0,209,1.1235979795455933,1,208,1.1884324550628662,,,
1,7,208,1,145,1.203691840171814,0,144,1.1542898416519165,1,145,1.203691840171814,,,
1,8,145,1,146,1.2007758617401123,0,147,1.1057170629501343,1,146,1.2007758617401123,,,
1,9,146,0,148,0.7595428228378296,0,148,0.7595428228378296,,,,,,
1,10,148,0,227,0.7566537857055664,0,227,0.7566537857055664,,,,,,
1,11,227,2,151,1.4699046611785889,0,149,1.4386560916900635,1,150,1.4992790222167969,2,151,1.4699046611785889
1,12,151,0,152,0.7567383050918579,0,152,0.7567383050918579,,,,,,
1,13,152,1,154,1.1881656646728516,0,153,1.1052205562591553,1,154,1.1881656646728516,,,
